OTU	Test-Statistic	P	FDR_P	Bonferroni_P	hispanic_mean	white_mean	black_mean	asian_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Succiniclasticum	44.4480566745	1.21214388608e-09	1.30911539696e-07	1.30911539696e-07	1.98824285724e-05	0.00062267111464	0.0189036043554	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__	28.8	2.4669397525e-06	0.000133214746635	0.00026642949327	0.0	0.0	8.63625657533e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter	24.9488701036	1.58252796375e-05	0.000569710066951	0.00170913020085	0.0057422351649	0.00500106576882	0.00883583986474	0.00122712535394
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium	20.8833900701	0.000111312549891	0.00267146312151	0.0120217553883	0.00112174550971	0.00011887660639	0.0	0.0011625278046
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__	20.662985586	0.000123678848218	0.00267146312151	0.0133573156076	0.00163975537089	0.00159175266743	0.00139289463035	0.000718834560783
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__Paraprevotella	19.3704658813	0.000229173082778	0.00412511549	0.02475069294	0.0180993360999	0.00872577925904	0.0	0.00200328843005
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__	19.0042479002	0.000272846521761	0.00420963205003	0.0294674243502	0.0455211795363	0.0449284086023	0.0613321705096	0.0228384282993
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__	17.9730290011	0.00044551937163	0.00601451151701	0.0481160921361	0.0283574520045	0.0306421516017	0.0294346129127	0.018541192661
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	16.6167254504	0.000847307046335	0.010167684556	0.0915091610042	0.457325444912	0.50436330338	0.497923241233	0.652453152324
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__	15.8060434222	0.00124267820084	0.0134209245691	0.134209245691	0.00386733754542	0.00610915778883	0.00257073896134	7.99035346418e-05
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__	13.3885866197	0.00386736509235	0.0362197876521	0.417675429974	0.000237275256774	0.000207498852713	5.73065902579e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea	13.2150206449	0.00419394914993	0.0362197876521	0.452946508192	0.00432197248682	0.0029448647757	0.000751574645547	0.00176651172418
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__	13.1319422567	0.00435978925442	0.0362197876521	0.470857239477	0.00263252203076	0.00268301166441	0.00026269688873	0.00203706988935
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium	12.6763654445	0.00539141575883	0.0415909215681	0.582272901954	8.70510945937e-05	0.000100483736206	0.000141028892358	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella	12.3836464409	0.00617810576944	0.0431690276869	0.6672354231	0.000128307499999	0.000198103896629	0.000998992190383	0.00064846893919
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae; g__	12.3092812671	0.00639541150917	0.0431690276869	0.69070444299	0.000302859747804	8.97651973255e-05	0.0	5.04922999243e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__	12.0373455641	0.00725631913463	0.04609896862	0.78368246654	0.0236885364512	0.0372913709272	0.0312070179722	0.019387730395
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	11.4079719691	0.00971250194369	0.0582750116621	1.0	0.0399947408439	0.028289419975	0.00713647944221	0.0196701566014
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia	10.674306241	0.0136239199315	0.0774412290842	1.0	0.00121317420699	0.00329728441241	0.00452933845306	0.00014111237389
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	10.3958692971	0.0154841715882	0.0836145265765	1.0	0.00132268181205	0.000755792278368	0.000177304964539	0.000998576951759
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnobacterium	10.1848784809	0.017058238646	0.0860384634554	1.0	0.00054811462921	0.001039411371	4.09149980143e-05	7.29349125523e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira	10.0117337517	0.018466657147	0.0860384634554	1.0	0.011796354423	0.0119014755703	0.00891291885283	0.00775018831509
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus	9.76491279733	0.0206738908316	0.0860384634554	1.0	0.00900778850142	0.00628702368088	0.0026973493444	0.00447785160168
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides	9.7504460092	0.0208110115379	0.0860384634554	1.0	0.0435769382486	0.0384421900886	0.068392022078	0.0292473317621
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]	9.73777362658	0.0209318578594	0.0860384634554	1.0	0.00666230213839	0.00320477276744	0.000914989380201	0.00796149692807
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	9.7339422865	0.0209685297451	0.0860384634554	1.0	2.21256656833e-05	3.34171435412e-05	3.66147967377e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus	9.67816381468	0.0215096158639	0.0860384634554	1.0	0.000194732162751	0.000107231968143	0.000100585533326	5.83798426079e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__	9.36363851421	0.024827152859	0.0957618753134	1.0	8.66757988525e-05	9.1056829333e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenella	9.13905175316	0.0274981212988	0.100936803472	1.0	3.34108311548e-05	1.09861070712e-05	1.14129194248e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia	9.09626461846	0.0280380009645	0.100936803472	1.0	0.00675094497417	0.0084215572778	0.00428243641288	0.0049011014607
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia	9.00525770722	0.0292210640637	0.101802416738	1.0	5.96481316518e-05	1.84344993391e-05	0.0	0.0
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28; f__; g__	8.89490704039	0.0307212840256	0.103684333586	1.0	0.00119923619946	0.00213041949482	0.0	0.000312350180873
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__	8.76250823293	0.0326209337097	0.106759419414	1.0	0.0169276276276	0.00170298189359	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter	8.67213310113	0.0339831195914	0.107946379879	1.0	3.8910249742e-05	7.37008360041e-06	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio	8.47147240279	0.0372094015089	0.114817581799	1.0	5.4107684245e-05	7.84748839391e-05	0.000607085846917	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	8.0228536806	0.045541742701	0.136625228103	1.0	0.000592442201447	0.00121032909716	0.000810553473904	0.000529510622629
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__	7.81166785126	0.0500686181415	0.146146236737	1.0	0.00716590524487	0.00959433607428	0.027193210331	0.00240367201378
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia	7.62132707888	0.0545216368979	0.152490303485	1.0	0.0133793569009	0.00728990368824	0.00296207325018	0.0062396912013
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium	7.59910572779	0.055065942925	0.152490303485	1.0	0.0173088509108	0.0101492570378	0.00124600442946	0.00852598604099
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Acidaminococcus	7.4059800406	0.0600240808825	0.159638347384	1.0	0.000368773151514	0.00136598852785	0.0	0.00153412419528
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas	7.38443165616	0.0606034466921	0.159638347384	1.0	0.00350060200594	0.00369989988972	0.00516905908357	0.00272787349905
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__	7.13962475797	0.0675781313613	0.173772337786	1.0	0.000106966083965	0.000983328753554	2.87636543965e-05	0.0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Eggerthella	7.03455487814	0.0708045084328	0.177834579319	1.0	1.7114268594e-05	3.45767964532e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira	6.93064989873	0.0741413538546	0.181983323098	1.0	0.00414275711148	0.00772017637161	0.00469747470285	0.0107988904284
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megamonas	6.78971133345	0.0789111535855	0.185535494209	1.0	0.000177303535947	1.62628736929e-05	0.0	0.00225963694995
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium	6.75251490481	0.0802185794912	0.185535494209	1.0	0.0340527271276	0.0426407796496	0.0372867267572	0.0357654072823
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Adlercreutzia	6.67548435863	0.0829928924806	0.185535494209	1.0	5.80715180841e-06	3.61988659199e-05	9.79911807937e-06	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	6.66976215783	0.0832026317894	0.185535494209	1.0	0.00151334743492	0.00159562362154	0.000845735065466	0.000853871911501
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__	6.64332923466	0.0841781408911	0.185535494209	1.0	0.0002207938698	3.5399286471e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]	6.53102664618	0.0884468880331	0.187782177169	1.0	0.0031242852316	0.00104163536697	0.00437617686697	0.000458218617947
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__	6.52517543814	0.0886749169965	0.187782177169	1.0	0.0896914942255	0.0702876866568	0.0884078831917	0.0497179199262
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__	6.30238695262	0.097790281341	0.203102892016	1.0	0.0106592013429	0.0119277723167	0.00785059426382	0.010346852148
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium	5.97609960969	0.112778838641	0.229813482514	1.0	0.0	0.000479901962938	3.92557117061e-05	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Oxalobacter	5.80699859236	0.121387172825	0.241909473385	1.0	9.3186575894e-06	5.99520457258e-05	0.0	0.0
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium	5.77295028385	0.123194639224	0.241909473385	1.0	0.000247586142503	0.000303556176073	0.000137866388646	0.000132569869388
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus	5.58524682915	0.133627892644	0.255729531161	1.0	0.000467851399748	0.000304537238599	0.000238065181238	0.00050317838039
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__	5.56214814559	0.134968363668	0.255729531161	1.0	0.000547748118817	0.000361473494084	0.000424495412526	0.000151877991861
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister	4.91340602653	0.178248910979	0.331434769367	1.0	0.0116241973529	0.00973929283638	0.0125533633691	0.00892525260524
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	4.87657077345	0.181061586969	0.331434769367	1.0	0.000248848449265	0.000419275760187	2.65533722783e-05	0.00108753307811
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania	4.80014441246	0.187030298623	0.336654537522	1.0	0.000159227915318	0.000170893679865	0.000144179780816	0.000100784975835
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	4.7266820702	0.192940265014	0.34159915773	1.0	0.0	7.89720606123e-05	2.74649821478e-05	0.000296675353123
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera	4.65664299359	0.198736473651	0.346186115391	1.0	0.000988236878577	0.000109172387815	5.49299642955e-05	0.000162180302954
