OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	24.8859689313	1.6311785268e-05	0.000750342122329	0.000750342122329	0.0	2.78122340455e-06	2.70757830386e-06	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	18.1857918996	0.000402695543229	0.00926199749428	0.0185239949886	0.000105915467739	0.00280078690546	0.000250448127088	0.00130927016507
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	8.35694158752	0.0391830125997	0.591871437604	1.0	0.00118243313395	0.0	0.000146837195502	3.31797112702e-07
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	7.75017582669	0.0514670815308	0.591871437604	1.0	0.00840889400533	0.0182356251946	0.017640816721	0.0203631794194
k__Bacteria;p__Actinobacteria;c__Actinobacteria	6.06875665578	0.108312562755	0.860235684469	1.0	0.0239477602567	0.0029485429921	0.018974939808	0.0150810756976
k__Bacteria;p__Bacteroidetes;c__Cytophagia	5.9878130489	0.112204654496	0.860235684469	1.0	4.01858999733e-06	0.0	2.49886697921e-06	0.0
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	5.51489001464	0.137750737138	0.905219129766	1.0	2.14936152022e-05	0.0	7.55983556316e-07	9.73036385086e-06
k__Archaea;p__Euryarchaeota;c__Methanobacteria	4.49566600343	0.212677195894	0.993166506341	1.0	4.98234092898e-05	0.000408488897453	0.000202358736701	0.000267889342315
k__Bacteria;p__Firmicutes;c__Bacilli	4.43089246827	0.218537976255	0.993166506341	1.0	0.0348993439846	0.0503335643027	0.024078777527	0.0252515304387
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	4.42044787645	0.219496867246	0.993166506341	1.0	0.0143096031801	0.0194829566492	0.0134749898801	0.0139474698062
k__Bacteria;p__Cyanobacteria;c__Chloroplast	3.47289574262	0.324294503709	0.993166506341	1.0	0.000111397666705	0.000296946589178	0.000238014996006	0.00045863720099
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	3.16115387505	0.367439575379	0.993166506341	1.0	0.0554283068221	0.00986758879061	0.0295554764819	0.0338686668638
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	3.16083353154	0.367486352851	0.993166506341	1.0	0.000144645855022	3.09618132476e-06	0.000225922922797	0.000365320052798
k__Bacteria;p__Firmicutes;c__Clostridia	2.90674871037	0.40622727419	0.993166506341	1.0	0.424932839234	0.411792234187	0.456945925512	0.439223597623
k__Bacteria;p__TM7;c__TM7-3	2.62271198856	0.453521747345	0.993166506341	1.0	0.0	0.0	4.71106285997e-06	5.78353340522e-06
k__Bacteria;p__Tenericutes;c__Mollicutes	2.61480784743	0.454899452011	0.993166506341	1.0	0.00321172686881	0.0084759423781	0.00589416494678	0.00469225132059
k__Bacteria;p__Cyanobacteria;c__4C0d-2	2.60384931098	0.456815112549	0.993166506341	1.0	0.00051176331258	0.000351666885578	0.00120322124884	0.00115036942489
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	2.35230413817	0.502574937741	0.993166506341	1.0	0.00423584791223	0.00209400201558	0.00628916843094	0.0118596161616
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	2.17696068755	0.536500642571	0.993166506341	1.0	0.0	0.0	5.23650730032e-06	1.50442889233e-06
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	1.96888889283	0.57888897606	0.993166506341	1.0	0.00363340430361	0.00309104475569	0.00299910576704	0.00441034849292
k__Bacteria;p__Tenericutes;c__RF3	1.87890463012	0.597916719449	0.993166506341	1.0	0.000207761678808	9.35037337182e-05	0.000492179259007	0.00106535340221
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	1.83363496656	0.607643085454	0.993166506341	1.0	0.0	0.0	6.35249706543e-06	5.61477419925e-06
k__Bacteria;p__Verrucomicrobia;c__Opitutae	1.81514003976	0.611645848671	0.993166506341	1.0	8.35862813419e-06	0.0	2.72250725646e-05	0.000303168566375
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	1.53931192179	0.673227327997	0.993166506341	1.0	0.0153723329705	0.0230764278671	0.0115816326084	0.0183484545238
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	1.45253359251	0.69326806657	0.993166506341	1.0	0.000542093336683	0.000337622977207	0.000453507947118	0.000492892488851
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	1.41217177847	0.702684095393	0.993166506341	1.0	0.0	0.0	1.4202860629e-05	1.33071562372e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	1.33243771256	0.721445209878	0.993166506341	1.0	0.0	0.0	1.55587859445e-06	1.49308700716e-06
k__Bacteria;p__SR1;c__	1.29409505723	0.73053573892	0.993166506341	1.0	0.0	0.0	4.85757934767e-06	1.2513531692e-06
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	1.24096938844	0.743195850344	0.993166506341	1.0	0.00338950459623	4.80260671523e-05	0.00141229366652	0.00198642044892
k__Bacteria;p__Acidobacteria;c__DA052	0.853884101776	0.836539900399	0.993166506341	1.0	0.0	0.0	8.7153827427e-07	8.29492781754e-07
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	0.713432508156	0.87004003189	0.993166506341	1.0	7.74169374324e-07	0.0	1.99529272653e-06	3.73271751789e-06
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.682817805338	0.877237739455	0.993166506341	1.0	7.74169374324e-07	0.0	7.5082634585e-07	1.16128989446e-06
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.628847418876	0.889797813247	0.993166506341	1.0	4.35042688564e-06	0.0	4.80924797005e-06	7.46380056725e-07
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.61625760636	0.892700688189	0.993166506341	1.0	9.3622790034e-06	0.0	6.06834784235e-06	1.21731508984e-05
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136	0.559427372426	0.905654399194	0.993166506341	1.0	0.0	0.0	8.8072176927e-07	0.0
k__Bacteria;p__[Thermi];c__Deinococci	0.559427372426	0.905654399194	0.993166506341	1.0	0.0	0.0	1.33860515537e-06	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.554429425117	0.906780728278	0.993166506341	1.0	0.00210109583256	0.00534373345103	0.00283045891539	0.00375938274621
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	0.223282840201	0.973745916305	0.993166506341	1.0	0.0	0.0	8.38336866806e-07	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.151158324441	0.985059745832	0.993166506341	1.0	7.70153827724e-05	0.0476231720241	0.000892536240699	0.000943827804778
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.146960108635	0.985659926311	0.993166506341	1.0	0.403127585241	0.393263565621	0.404052251703	0.400734360338
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	0.11156022634	0.99041495194	0.993166506341	1.0	0.0	0.0	4.85894778271e-07	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.11156022634	0.99041495194	0.993166506341	1.0	0.0	0.0	5.28140747397e-07	0.0
k__Bacteria;p__Chloroflexi;c__TK10	0.11156022634	0.99041495194	0.993166506341	1.0	0.0	0.0	5.43954763271e-07	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.11156022634	0.99041495194	0.993166506341	1.0	0.0	0.0	1.95281577381e-06	0.0
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0.11156022634	0.99041495194	0.993166506341	1.0	0.0	0.0	8.46777021118e-07	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	0.0886259894957	0.993166506341	0.993166506341	1.0	1.97736710321e-05	2.86803097589e-05	7.2956971435e-05	5.9258146173e-05
