OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Asian or Pacific Islander_mean	African American_mean	Caucasian_mean	Hispanic_mean
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	18.382710006	0.000366719337882	0.0557188302485	0.0660094808187	0.0165677356224	0.00913820063473	0.0101633948396	0.00984367629782
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae	17.1231058647	0.000666712057036	0.0557188302485	0.120008170267	0.0	0.0	8.09824630452e-07	9.53233415407e-07
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	15.4539691572	0.00146706524616	0.0557188302485	0.264071744309	6.48182641257e-05	0.000171288366132	0.000225674663656	0.000109417519212
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	14.6581906808	0.00213332041395	0.0557188302485	0.383997674512	0.00631632795818	0.0125982709479	0.00682459143632	0.00949661179359
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	14.6249999997	0.00216684339855	0.0557188302485	0.39003181174	0.000202090008586	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae	14.6249999997	0.00216684339855	0.0557188302485	0.39003181174	2.28100648144e-05	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae	14.6249999997	0.00216684339855	0.0557188302485	0.39003181174	3.38687302207e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae]	13.7632079965	0.00324584379449	0.0730314853759	0.584251883008	0.0	8.92575822085e-07	5.15378502455e-06	0.0
k__Bacteria;p__SR1;c__;o__;f__	12.2363761914	0.006615779868	0.128244489779	1.0	2.52438267706e-06	0.0	4.62085887341e-06	4.88639540451e-06
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__	12.0767877775	0.00712469387662	0.128244489779	1.0	0.0	0.0	1.16922909273e-07	9.42132398594e-07
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae	11.0091067668	0.0116767336278	0.191073823001	1.0	1.53072559652e-05	2.29660648512e-05	2.50947663297e-05	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	10.7283548934	0.0132892165894	0.199338248841	1.0	5.56969154978e-07	8.92575822085e-07	3.91526733482e-07	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	10.3958515599	0.0154842977104	0.214397968298	1.0	0.000367094708245	0.0	0.000196205922907	0.00016310216949
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae	9.7419862625	0.0208916090721	0.268606402356	1.0	0.0	2.16278566794e-05	1.17863088022e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	9.57739917066	0.0225220599806	0.270264719767	1.0	1.48938846082e-05	0.0	1.72058723784e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	8.3966162059	0.0384880327002	0.411829539219	1.0	0.234560360191	0.299453502813	0.290750447756	0.317158790317
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	8.3732987905	0.0388950120373	0.411829539219	1.0	1.39746392346e-05	0.000212134736937	3.86794163576e-05	7.49293790602e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	7.47471375475	0.0582117357277	0.582117357277	1.0	4.93252349026e-06	0.0	8.47035030321e-05	2.81514001071e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	6.69911543167	0.0821321130098	0.626172608215	1.0	0.0111831777583	0.000375882186383	0.00242447505437	0.00162291004837
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	6.67108848519	0.0831539716769	0.626172608215	1.0	0.000462733191315	7.99404156461e-06	0.000475117321746	7.18517267766e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	6.66720516527	0.083296519828	0.626172608215	1.0	0.0113037056528	0.0406645124409	0.00714083577528	7.3250162578e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	6.57596528679	0.0867142849522	0.626172608215	1.0	0.00134364691545	0.00172351848412	0.000257636995607	5.61883386675e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	6.55445474484	0.0875395052384	0.626172608215	1.0	7.16200247088e-06	3.09773988898e-06	2.17414024834e-06	6.32107655519e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae	6.36235647878	0.0952517790378	0.626172608215	1.0	2.5111621156e-06	0.0	7.69333398929e-07	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	6.30120114821	0.097841125146	0.626172608215	1.0	2.09396081481e-05	3.43233924344e-05	9.7562244286e-05	1.3677335559e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	6.27518665758	0.0989629534907	0.626172608215	1.0	0.0071911715	0.0161646912429	0.00722094221983	0.011576517492
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	6.11947833748	0.105939846383	0.626172608215	1.0	0.00040546202986	0.000147794926186	0.000549620711166	0.000319776644861
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae	6.09662274971	0.10700278693	0.626172608215	1.0	0.0	0.0	3.40301807625e-07	7.87120027056e-07
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae	6.09662274971	0.10700278693	0.626172608215	1.0	0.0	0.0	6.59769676727e-07	1.72925242565e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	6.01827511905	0.110724478119	0.626172608215	1.0	0.00528183691645	0.00180576198452	0.00574602019783	0.00643106989403
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__;f__	5.9878130489	0.112204654496	0.626172608215	1.0	0.0	0.0	8.48373826517e-07	1.08147041043e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	5.9682117835	0.113167074822	0.626172608215	1.0	0.00548649837248	0.0135162041228	0.00355212016456	0.00456138291196
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	5.76384573485	0.123682285187	0.626172608215	1.0	0.0	0.0	1.47713178555e-06	9.42132398594e-07
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae	5.73858137973	0.125045108865	0.626172608215	1.0	0.000275575606721	0.0	0.000119125966482	0.000257651496478
