OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hispanic_mean	African American_mean	Caucasian_mean	Asian or Pacific Islander_mean
k__Bacteria;p__Cyanobacteria	39.2358612159	1.54702143204e-08	2.93934072088e-07	2.93934072088e-07	0.0103486221428	2.52592974133e-05	0.00124253180968	0.000443601601128
k__Bacteria;p__Verrucomicrobia	35.7187944091	8.58688639383e-08	8.15754207414e-07	1.63150841483e-06	0.0106724293948	0.00949028082353	0.0180539669389	0.0156292036163
k__Bacteria;p__Tenericutes	24.6871330423	1.79499057916e-05	0.00011368273668	0.000341048210041	0.00747268001831	0.00300438152234	0.00647638915655	0.00360978825867
k__Bacteria;p__Spirochaetes	22.3704171214	5.4620535376e-05	0.000214755441306	0.00103779017214	1.3055236666e-05	0.0	4.92578873076e-06	2.48423863937e-05
k__Archaea;p__Euryarchaeota	22.2993082514	5.65145898173e-05	0.000214755441306	0.00107377720653	0.000155088626413	1.97123128738e-05	0.000228464182589	1.55147273758e-05
k__Bacteria;p__Lentisphaerae	16.6787411349	0.000822811052998	0.00260556833449	0.015633410007	0.000860455083254	0.000208884399428	0.000219971683674	0.000117609763201
k__Bacteria;p__Actinobacteria	9.73511666388	0.0209572824261	0.0568840522993	0.398188366095	0.0188262810509	0.0385374326034	0.0212371349363	0.0289120637121
k__Bacteria;p__Firmicutes	8.23293612943	0.0414351047368	0.0984083737498	0.787266989999	0.456763836365	0.380331881167	0.497336920576	0.460808199019
k__Bacteria;p__Fusobacteria	7.72606392981	0.0520257442551	0.109832126761	0.988489140847	0.000442717246688	1.84115937215e-05	0.00132246493567	0.00177915872463
k__Bacteria;p__Bacteroidetes	6.92113069109	0.0744545460885	0.141463637568	1.0	0.445632617685	0.505757243102	0.401198436796	0.439381876262
k__Bacteria;p__Synergistetes	6.39250765353	0.0939995084846	0.162362787382	1.0	3.22336123531e-05	5.63208939252e-06	7.65430973341e-05	7.01463820415e-06
k__Bacteria;p__Chloroflexi	5.94571764716	0.114281253662	0.180945318299	1.0	0.0	0.0	1.18324929705e-06	1.0817677214e-05
k__Bacteria;p__TM7	3.12751439675	0.372379741192	0.54424731405	1.0	1.0301623867e-06	0.0	4.77035103058e-06	4.51699391262e-06
k__Bacteria;p__Proteobacteria	2.17347670155	0.537191510742	0.678465329925	1.0	0.0487776903118	0.0626008810887	0.0525704056037	0.0492430273754
k__Bacteria;p__SR1	2.16257759017	0.539356981527	0.678465329925	1.0	1.26306323147e-06	0.0	4.72915581293e-06	2.52551877043e-06
k__Bacteria;p__Elusimicrobia	1.91877010466	0.589436224183	0.678465329925	1.0	0.0	0.0	1.51495297873e-05	0.0
k__Bacteria;p__Acidobacteria	1.71362904681	0.633908009601	0.678465329925	1.0	0.0	0.0	2.76128012039e-06	9.67054711918e-06
k__Bacteria;p__[Thermi]	1.67387896347	0.64275662835	0.678465329925	1.0	0.0	0.0	1.29811392384e-06	5.69177879471e-07
k__Bacteria;p__Gemmatimonadetes	0.11156022634	0.99041495194	0.99041495194	1.0	0.0	0.0	1.95281577381e-06	0.0
