OTU	Test-Statistic	P	FDR_P	Bonferroni_P	hispanic_mean	white_mean	black_mean	asian_mean
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	5.14912187231	0.161197756472	0.702524795855	1.0	0.00364211852278	0.00380182013829	0.0	0.0165438321251
Unassigned	4.74579938366	0.191385756568	0.702524795855	1.0	0.00222582024849	0.00245509721277	0.000714352908111	0.00221353449355
k__Bacteria; p__Cyanobacteria; c__4C0d-2	4.74216816237	0.191680125128	0.702524795855	1.0	0.000769188181962	0.000846674565312	0.0	1.9003530856e-05
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	4.57961645303	0.205297674809	0.702524795855	1.0	0.0	1.168623513e-05	0.0	2.24244931223e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria	4.5500015324	0.207873392759	0.702524795855	1.0	0.000468342574261	0.000842979022288	0.00427859174166	0.000248621530504
k__Bacteria; p__Firmicutes; c__Clostridia	3.80894049495	0.282847912523	0.702524795855	1.0	0.277874357275	0.280002474208	0.370607889521	0.261648459092
k__Bacteria; p__Firmicutes; c__Bacilli	3.74121167602	0.290798649155	0.702524795855	1.0	0.000263497020266	0.000397289164735	0.00189581532405	0.000645622239112
k__Bacteria; p__Synergistetes; c__Synergistia	3.3278456916	0.34378580902	0.702524795855	1.0	2.46893510255e-05	7.00561310768e-06	0.0	1.71018819688e-05
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]	3.09334627693	0.377455738236	0.702524795855	1.0	8.23342752783e-05	0.000106486783777	0.0	0.000225619963965
k__Bacteria; p__Fusobacteria; c__Fusobacteriia	2.8906332341	0.408796555439	0.702524795855	1.0	0.000402727626433	0.000452733072444	0.0	0.0
k__Bacteria; p__Tenericutes; c__Mollicutes	2.83932798209	0.417066683683	0.702524795855	1.0	0.00664411123217	0.00525072568742	0.00599369085174	0.00194661454799
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	2.64530107675	0.449602973847	0.702524795855	1.0	0.674449410857	0.670212482192	0.581786774996	0.684516947193
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	2.60484312369	0.456641117306	0.702524795855	1.0	0.000789453917885	0.00300009861623	0.00806892030075	0.00148024051946
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	2.26842432347	0.518596942132	0.740852774475	1.0	0.0019080812219	0.00205610546698	0.00268511333549	0.00193298567234
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.61102622467	0.656892289558	0.819353371913	1.0	0.000185301908758	0.000257957473471	0.000220061121337	0.000185795784422
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	1.47016638488	0.689172830097	0.819353371913	1.0	0.0100169502263	0.00533782452939	0.00439459443961	0.00386189919335
k__Bacteria; p__Actinobacteria; c__Coriobacteriia	1.43886504549	0.696450366126	0.819353371913	1.0	0.000793612229478	0.0010780636343	0.00192477522143	0.00141934222487
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	0.975387428599	0.80720717425	0.896896860278	1.0	0.0182939406669	0.0220654151554	0.016952715977	0.0202855517278
k__Bacteria; p__Verrucomicrobia; c__Opitutae	0.4259815881	0.934824526187	0.984025817039	1.0	0.000133563796354	3.59314676243e-05	0.0	0.000235860182084
k__Bacteria; p__Tenericutes; c__RF3	0.00186458319711	0.999978598287	0.999978598287	1.0	0.00103249886772	0.00178114976134	0.000476704261418	0.00255054360488
