OTU	Test-Statistic	P	FDR_P	Bonferroni_P	hispanic_mean	white_mean	black_mean	asian_mean
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__	28.8	2.4669397525e-06	6.66073733175e-05	6.66073733175e-05	0.0	0.0	8.63625657533e-05	0.0
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales	20.8833900701	0.000111312549891	0.00150271942353	0.00300543884707	0.00112174550971	0.00011887660639	0.0	0.0011625278046
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	16.2357017532	0.00101453082612	0.00838807785569	0.0273923323053	0.00164252662088	0.00105250129279	0.000244410672876	0.000998576951759
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39	15.8060434222	0.00124267820084	0.00838807785569	0.0335523114227	0.00386733754542	0.00610915778883	0.00257073896134	7.99035346418e-05
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales	12.3092812671	0.00639541150917	0.0345352221495	0.172676110748	0.000302859747804	8.97651973255e-05	0.0	5.04922999243e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales	10.674306241	0.0136239199315	0.0613076396916	0.36784583815	0.00121317420699	0.00329728441241	0.00452933845306	0.00014111237389
k__Bacteria; p__Tenericutes; c__RF3; o__ML615J-28	8.89490704039	0.0307212840256	0.114693028621	0.829474668691	0.00119923619946	0.00213041949482	0.0	0.000312350180873
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales	8.67213310113	0.0339831195914	0.114693028621	0.917544228968	3.8910249742e-05	7.37008360041e-06	0.0	0.0
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2	7.13962475797	0.0675781313613	0.202734394084	1.0	0.000106966083965	0.000983328753554	2.87636543965e-05	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	6.59923195339	0.0858301255254	0.231741338919	1.0	0.648833152661	0.660988675519	0.686973619662	0.743218531422
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	5.78919496989	0.122329108726	0.277534853954	1.0	0.305659489915	0.285942030089	0.275792186338	0.217321117128
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales	5.75860394545	0.123963872476	0.277534853954	1.0	0.00637067932577	0.00622080990575	0.00509385410813	0.00278799147646
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales	5.58524682915	0.133627892644	0.277534853954	1.0	0.000467851399748	0.000304537238599	0.000238065181238	0.00050317838039
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales	4.81503434844	0.185853201352	0.358431174036	1.0	0.000248316195681	0.000237589216169	0.000826831065915	5.40425052271e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales	4.6279509082	0.201157383467	0.362083290241	1.0	0.00113620468955	0.00134845352995	0.000246903838303	0.003463600605
Unassigned	4.06361725834	0.254676049982	0.405627528298	1.0	0.00146998693204	0.00256664572622	0.00116694488909	0.00234406909529
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	4.05680572912	0.25539511041	0.405627528298	1.0	0.0065165376357	0.00548356916256	0.000177304964539	0.00239425149931
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]	3.10988192653	0.374991863787	0.540199875425	1.0	0.000269359641434	4.49616810411e-05	2.74649821478e-05	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales	2.98482991906	0.393970022939	0.540199875425	1.0	0.00210094721166	0.000617576147704	0.000262781590688	0.000719802776161
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales	2.945222944	0.40014805587	0.540199875425	1.0	0.0	0.00017047293123	0.0	0.0
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales	2.69391972003	0.441261563369	0.56733629576	1.0	0.0	1.12813590611e-05	0.0	2.17918730841e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98	2.38806836257	0.495859557894	0.608554911961	1.0	5.94026581657e-06	2.98196166832e-05	4.85319097306e-05	7.26395769471e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	1.9115291549	0.590970620057	0.693748119197	1.0	1.9430337438e-05	3.13005581302e-06	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	1.60766869503	0.65765224729	0.716551416137	1.0	0.0169599143994	0.0215282055907	0.0212045542963	0.0240560212706
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	1.58201985658	0.66347353346	0.716551416137	1.0	0.000361736531214	0.000296396242373	0.000210302578383	0.000171116648977
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales	1.39524952101	0.70664864685	0.733827440959	1.0	8.76966949607e-05	0.000175517938657	0.000271040288007	0.000192258216144
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales	0.82742113074	0.842897639515	0.842897639515	1.0	0.0	0.000241624419847	0.0	0.0
