#SampleID	race
10317.000006703	Asian or Pacific Islander
10317.000027821	Caucasian
10317.000009594	Caucasian
10317.000014543	Caucasian
10317.000014548	Caucasian
10317.000028894	Caucasian
10317.000009766	Caucasian
10317.000004738	Caucasian
10317.000014608	Caucasian
10317.000004734	Caucasian
10317.000004737	Caucasian
10317.000004736	Caucasian
10317.000022638	Caucasian
10317.000022636	Caucasian
10317.000013332	Caucasian
10317.000039907	Caucasian
10317.000003492	Caucasian
10317.000002773	Caucasian
10317.000002774	Caucasian
10317.000009507	Caucasian
10317.000041935	Caucasian
10317.000030744	Asian or Pacific Islander
10317.000013454	Asian or Pacific Islander
10317.000014958	Caucasian
10317.000014954	Caucasian
10317.000010274	Caucasian
10317.000014224	Caucasian
10317.000023223	Caucasian
10317.000015577	Caucasian
10317.000011055	Caucasian
10317.000005814	Caucasian
10317.000013458	Caucasian
10317.000010908	Caucasian
10317.000003149	Caucasian
10317.000003411	Caucasian
10317.000006797	Caucasian
10317.000013182	Hispanic
10317.000016333	Caucasian
10317.000035452	Caucasian
10317.000012061	Caucasian
10317.000042586	Caucasian
10317.000026648	Caucasian
10317.000031379	Caucasian
10317.000004289	Caucasian
10317.000004823	Caucasian
10317.000004822	Caucasian
10317.000004283	Asian or Pacific Islander
10317.000014561	Caucasian
10317.000014563	Hispanic
10317.000004286	Caucasian
10317.000004759	Caucasian
10317.000004758	Caucasian
10317.000022618	Caucasian
10317.000013355	Caucasian
10317.000003086	Caucasian
10317.000015214	Caucasian
10317.000003088	Caucasian
10317.000002028	Caucasian
10317.000006074	Caucasian
10317.000017218	Caucasian
10317.000017219	Caucasian
10317.000017216	Caucasian
10317.000017217	Caucasian
10317.000017215	Caucasian
10317.000001488	Caucasian
10317.000001482	Caucasian
10317.000001225	Caucasian
10317.000001221	Caucasian
10317.000014798	Caucasian
10317.000014799	Caucasian
10317.000018073	Asian or Pacific Islander
10317.000009392	Caucasian
10317.000036114	Caucasian
10317.000028914	Caucasian
10317.000012298	Caucasian
10317.000018299	Caucasian
10317.000006662	Caucasian
10317.000006665	Caucasian
10317.000006666	Caucasian
10317.000002568	Caucasian
10317.000010304	Caucasian
10317.000013165	Caucasian
10317.000013166	Caucasian
10317.000013167	Caucasian
10317.000033801	Caucasian
10317.000017176	Caucasian
10317.000027198	Hispanic
10317.000017667	Caucasian
10317.000017662	Hispanic
10317.000017661	Caucasian
10317.000021327	Caucasian
10317.000021323	Caucasian
10317.000020431	Caucasian
10317.000001032	Caucasian
10317.000003137	Caucasian
10317.000009144	Caucasian
10317.000009495	Caucasian
10317.000009149	Caucasian
10317.000014587	Caucasian
10317.000031829	Caucasian
10317.000015185	Caucasian
10317.000011155	Caucasian
10317.000035491	Caucasian
10317.000035492	African American
10317.000013801	Asian or Pacific Islander
10317.000013372	Caucasian
10317.000004774	Asian or Pacific Islander
10317.000001487	Caucasian
10317.000022899	Caucasian
10317.000012173	Caucasian
10317.000041554	Caucasian
10317.000001939	Caucasian
10317.000001934	Caucasian
10317.000001936	Caucasian
10317.000006053	Caucasian
10317.000002005	Caucasian
10317.000017276	Caucasian
10317.000017174	Caucasian
10317.000013118	Caucasian
10317.000041976	Asian or Pacific Islander
10317.000009556	Caucasian
10317.000009558	Caucasian
10317.000001208	Caucasian
10317.000035392	Caucasian
10317.000036131	Caucasian
10317.000010947	Caucasian
10317.000010945	Hispanic
10317.000028933	Caucasian
10317.000002346	Caucasian
10317.000002347	Caucasian
10317.000002345	Caucasian
10317.000008954A	Caucasian
10317.000001059	Caucasian
10317.000017644	Caucasian
10317.000010993	Caucasian
10317.000006841	Caucasian
10317.000007641	Caucasian
10317.000010559	African American
10317.000010555	Caucasian
10317.000010556	Asian or Pacific Islander
10317.000009129	Caucasian
10317.000009126	Caucasian
10317.000031847	Caucasian
10317.000013821	Caucasian
10317.000007073	Caucasian
10317.000013826	Caucasian
